disease,symptom,values
Abnormal involuntary movement,Continuous tremor,1
Abnormal involuntary movement,Intermittent tremor,1
Abnormal involuntary movement,Fine tremor,1
Abnormal involuntary movement,Coarse tremor,1
Abnormal involuntary movement,Massive tremor,1
Abnormal involuntary movement,Passive tremor,1
Abnormal involuntary movement,Static tremor,1
Abnormal involuntary movement,Resting tremor,1
Abnormal involuntary movement,Grimaces,1
Abnormal involuntary movement,Clasp knife like increase in tone,1
Abnormal involuntary movement,Risus sardonicus,1
Abnormal involuntary movement,Involuntary movement,1
Abnormal involuntary movement,Involuntary movement symptom,1
Abnormal involuntary movement,Head movements abnormal,1
Abnormal involuntary movement,Pleurothotonus,1
Abnormal involuntary movement,Wrist clonus,1
Abnormal involuntary movement,Pseudoathetosis,1
Abnormal involuntary movement,Thyrotoxic tremor,1
Abnormal involuntary movement,Pill rolling,1
Abnormal involuntary movement,Involuntary truncal rocking,1
Abnormal involuntary movement,Orthostatic tremor,1
Abnormal involuntary movement,Chronic tremor,1
Rasmussen syndrome,Seizure,1
Early onset cerebellar ataxia,Cerebellar ataxia,1
Late onset cerebellar ataxia,Cerebellar ataxia,1
Disorder presenting primarily with chorea,Posthemiplegic chorea,1
Kinesiogenic choreoathetosis,Paroxysmal dystonia,1
Dystonia,Dystonia finding,1
Dystonia,Paroxysmal dystonia,1
Dystonia,Diurnal dystonia,1
Isolated cervical dystonia,Spasmodic torticollis disorder,1
Isolated blepharospasm,Blepharospasm disorder,1
Other specified myoclonus,Myoclonic disorder,1
Symptomatic myoclonus,Myoclonic disorder,1
Postanoxic myoclonus,Myoclonic disorder,1
Segmental cord myoclonus,Myoclonic disorder,1
Palataltympanic myoclonus,Myoclonic disorder,1
Hyoid myoclonus,Myoclonic disorder,1
Opsoclonusmyoclonus syndrome,Myoclonic disorder,1
Partial epilepsy with autonomic symptoms,Seizure,1
Benign frontal epilepsy of childhood,Seizure,1
Benign psychomotor epilepsy of childhood,Seizure,1
Benign atypical partial epilepsy in childhood,Seizure,1
Epilepsy with recurrent unilateral seizures in children,Seizure,1
Childhood epilepsy with occipital paroxysms,Seizure,1
Benign occipital epilepsy of childhood  early onset variant,Seizure,1
Benign occipital epilepsy of childhood  late onset variant,Seizure,1
Primary inherited reading epilepsy,Seizure,1
Amygdalohippocampal epilepsy,Seizure,1
Mesiobasal limbic epilepsy,Seizure,1
Rhinencephalic epilepsy,Seizure,1
Lateral temporal epilepsy,Seizure,1
Supplementary motor epilepsy,Seizure,1
Cingulate epilepsy,Seizure,1
Dorsolateral epilepsy,Seizure,1
Opercular epilepsy,Seizure,1
Nonprogressive Kozhevnikow syndrome,Seizure,1
Parietal lobe epilepsy,Seizure,1
Occipital lobe epilepsy,Seizure,1
Chronic progressive epilepsia partialis continua,Seizure,1
Benign nonfamilial neonatal convulsions,Seizure,1
Myoclonic epilepsy of early childhood,Seizure,1
Epilepsy with grand mal seizures on awakening,Seizure,1
Cryptogenic West syndrome,Seizure,1
Symptomatic West syndrome,Seizure,1
Cryptogenic LennoxGastaut syndrome,Seizure,1
Symptomatic LennoxGastaut syndrome,Seizure,1
Myoclonic astatic epilepsy,Seizure,1
Myoclonic absence epilepsy,Seizure,1
Early infantile epileptic encephalopathy with suppression bursts,Seizure,1
Epilepsy with continuous spike wave during slowwave sleep,Seizure,1
Secondary reading epilepsy,Seizure,1
Druginduced epilepsy,Seizure,1
Narcotic withdrawal epilepsy,Seizure,1
Menstrual epilepsy,Seizure,1
Nocturnal epilepsy,Seizure,1
Photogenic epilepsy,Seizure,1
Photogenic epilepsy,Partial seizure,1
Eyelid myoclonus with absences,Seizure,1
Writing epilepsy,Seizure,1
Tactile epilepsy,Seizure,1
Eating epilepsy,Seizure,1
Tapping epilepsy,Seizure,1
Toothbrushing epilepsy,Seizure,1
Decisionmaking epilepsy,Seizure,1
Aquagenic epilepsy,Seizure,1
Nonconvulsive status epilepticus with three per second spike wave,Seizure,1
Nonconvulsive status epilepticus without three per second spike wave,Seizure,1
Nonconvulsive simple partial status epilepticus,Seizure,1
Nonconvulsive simple partial status epilepticus,Partial seizure,1
Complex partial status epilepticus,Seizure,1
Complex partial status epilepticus,Partial seizure,1
Headache disorder,Headache finding,1
Headache disorder,Menopausal headache,1
Headache disorder,Idiopathic stabbing headache,1
Muscular headache,Headache finding,1
Episodic tensiontype headache,Headache finding,1
Chronic tensiontype headache,Headache finding,1
Episodic cluster headache,Headache finding,1
Chronic cluster headache unremitting from onset,Headache finding,1
Chronic cluster headache evolved from episodic cluster headache,Headache finding,1
Chronic paroxysmal hemicrania,Headache finding,1
Atypical cluster headache,Headache finding,1
Chronic posttraumatic headache disorder,Headache finding,1
Low pressure headache,Headache finding,1
Low pressure headache,Post dural puncture headache,1
Headache due to cold exposure,Headache finding,1
Headache associated with substance abuse or withdrawal,Headache finding,1
Persistent insomnia,Insomnia disorder,1
Persistent hypersomnia,Hypersomnia disorder,1
Irregular sleepwake pattern,DSleep rhythm irregular,1
Sleeprelated bruxism,Sleep automatism,1
Sleeprelated painful erections,Pain finding,1
Sleeprelated painful erections,Painful penile erection,1
Idiopathic trigeminal neuralgia,Pain finding,1
Secondary trigeminal neuralgia,Pain finding,1
Cluster tic syndrome,Pain finding,1
Acute painful diabetic neuropathy,Pain finding,1
Diabetic acute painful polyneuropathy,Pain finding,1
Disorders of spinal neurones manifest by hyperactivity,Painful legs and moving toes,1
Disorders of spinal neurones manifest by hyperactivity,Painful arms and moving fingers,1
Congenital nonprogressive ataxia,Ataxia finding,1
Dysequilibrium syndrome disorder,Dizziness and giddiness,1
Congenital receptive dysphasia,DOther speech disturbance NOS,1
Congenital receptive dysphasia,DOther speech disturbance,1
Acute sanguinous otitis media,Bleeding from ear,1
Otitis media with effusion  sanguinous,Bleeding from ear,1
Migrainous vertigo,Subjective vertigo,1
Benign recurrent vertigo,Subjective vertigo,1
Episodic recurrent vertigo,Subjective vertigo,1
Recurrent vestibulopathy,Subjective vertigo,1
Episodic recurrent vertigo,Dizziness and giddiness,1
Recurrent vestibulopathy,Dizziness and giddiness,1
Pharyngeal spasm,Spasm finding,1
Acute cardiac pulmonary edema,Acute edema,1
Posteruptive tooth staining due to drug,Teeth staining due to drugs,1
Amalgam tattoo,Macule morphologic abnormality,1
Diarrhea in diabetes,Diarrhea symptom,1
Hollow visceral neuropathy,Diarrhea symptom,1
Diarrhea in diabetes,Loose stool,1
Hollow visceral neuropathy,Loose stool,1
Hyperbilirubinemia  conjugated  type III,DJaundice not of newborn,1
Hyperbilirubinemia  conjugated  type III,DJaundice not of newborn NOS,1
Vomiting  infective,Finding of vomiting,1
Vomiting  infective,Vomiting symptom,1
Constipation  functional,Constipation disorder,1
Constipation  functional,Functional constipation or impacted faeces,1
Constipation  functional,Functional constipation or impacted feces,1
Disorder of ureter disorder,Ureteric neuromuscular incoordination,1
Nonorganic primary enuresis,DEnuresis NOS,1
Nonorganic primary enuresis,Enuresis & bedwetting,1
Nonorganic primary enuresis,DEnuresis,1
Nonorganic primary enuresis,Enuresis D,1
Nonorganic secondary enuresis,DEnuresis NOS,1
Nonorganic secondary enuresis,Enuresis & bedwetting,1
Nonorganic secondary enuresis,DEnuresis,1
Nonorganic secondary enuresis,Enuresis D,1
Symptomatic disorders of the urinary tract,DUrinary system symptoms NOS,1
Symptomatic disorders of the urinary tract,DUrinary system symptoms,1
Endometriosis outside pelvis,Pain finding,1
Perimenopausal disorder,Menopausal symptom,1
Perimenopausal disorder,Menopausal headache,1
Perimenopausal disorder,Menopausal sleeplessness,1
Perimenopausal disorder,Menopausal concentration lack,1
Peripheral neuritis in pregnancy,Symptomatic disorders in pregnancy,1
Hyperemesis gravidarum with metabolic disturbance  not delivered,Finding of vomiting,1
Hyperemesis gravidarum with metabolic disturbance  not delivered,Vomiting symptom,1
Hyperemesis gravidarum with metabolic disturbance,Hyperemesis gravidarum,1
Hyperemesis gravidarum with metabolic disturbance,Finding of vomiting,1
Hyperemesis gravidarum with metabolic disturbance,Vomiting symptom,1
Mild hyperemesisnot delivered,Finding of vomiting,1
Mild hyperemesisnot delivered,Vomiting symptom,1
Mild hyperemesisdelivered,Finding of vomiting,1
Mild hyperemesisdelivered,Vomiting symptom,1
"Breast engorgement in pregnancy, the puerperium or lactation with antenatal complication",Engorgement of breasts,1
Disorder of nipple,Discharge from nipple,1
Disorder of nipple,Nipple discharge symptom,1
Other pruritic conditions NOS,Pruritus of skin,1
Other pruritic conditions NOS,Itching of skin,1
Other pruritic conditions NOS,Itch of skin,1
Local infection skinsubcut tissue NOS disorder,Skin irritation,1
Staphylococcal intertrigo,Erythema of skin,1
Staphylococcal intertrigo,Erythematous condition,1
Streptococcal intertrigo,Erythema of skin,1
Streptococcal intertrigo,Erythematous condition,1
Pruriginous atopic dermatitis,Pruritus of skin,1
Pruriginous atopic dermatitis,Itching of skin,1
Pruriginous atopic dermatitis,Itch of skin,1
Subacute prurigo,Pruritus of skin,1
Subacute prurigo,Itching of skin,1
Subacute prurigo,Itch of skin,1
Chronic prurigo,Pruritus of skin,1
Chronic prurigo,Itching of skin,1
Chronic prurigo,Itch of skin,1
Dermographic prurigo,Pruritus of skin,1
Dermographic prurigo,Itching of skin,1
Dermographic prurigo,Itch of skin,1
Prurigo pigmentosa,Pruritus of skin,1
Prurigo pigmentosa,Itching of skin,1
Prurigo pigmentosa,Itch of skin,1
Psoriasis palmaris,Pustular rash morphologic abnormality,1
Psoriasis plantaris,Pustular rash morphologic abnormality,1
Aquagenic pruritus,Pruritus of skin,1
Aquagenic pruritus,Itching of skin,1
Aquagenic pruritus,Itch of skin,1
Aquagenic pruritus,Other specified pruritic conditions disorder,1
Pigmented peribuccal erythrosis of Brocq,Erythema of skin,1
Pigmented peribuccal erythrosis of Brocq,Erythematous condition,1
Idiopathic livedo reticularis,Pale complexion,1
Idiopathic livedo reticularis with winter ulceration,Pale complexion,1
Idiopathic livedo reticularis with summer ulceration,Pale complexion,1
Erythema papulatum,Erythema of skin,1
Erythema papulatum,Erythematous condition,1
Erythema tuberculatum,Erythema of skin,1
Erythema tuberculatum,Erythematous condition,1
Erythema urticatum,Erythema of skin,1
Erythema urticatum,Erythematous condition,1
Erythema vesiculosum,Erythema of skin,1
Erythema vesiculosum,Erythematous condition,1
Other exfoliative erythema,Erythema of skin,1
Other exfoliative erythema,Erythematous condition,1
Other erythematous conditions NOS,Erythema of skin,1
Other erythematous conditions NOS,Erythematous condition,1
Toxic urticated erythema,Erythema of skin,1
Toxic urticated erythema,Erythematous condition,1
Nonbullous erythema multiforme,Erythema of skin,1
Nonbullous erythema multiforme,Erythematous condition,1
Erythema multiforme of pregnancy,Erythema of skin,1
Erythema multiforme of pregnancy,Erythematous condition,1
Collagen and elastic tissue disorders affecting skin,"Extensive congenital erosions, vesicles and reticulate scarring",1
Lipogranulomatosis subcutanea of Rothmann and Makai,Erythema of skin,1
Lipogranulomatosis subcutanea of Rothmann and Makai,Erythematous condition,1
Skin disorder of umbilicus,Disorder of umbilicus,1
Disorder of scalp,Scalp itchy,1
Vulvodynia disorder,Pain finding,1
Vulvodynia disorder,Burning sensation of vulva,1
Vulvodynia disorder,Vulvovaginal pain,1
Vulvodynia disorder,Chronic vaginal pain,1
Psoriasiform drug eruption,Psoriasiform rash,1
Druginduced erythroderma,Erythema of skin,1
Druginduced erythroderma,Erythematous condition,1
Druginduced pigmentation,Drug pigmentation,1
Kohlschutters syndrome,Seizure,1
Dermatopathia pigmentosa reticularis disorder,Pale complexion,1
Prurigo of pregnancy,Pruritus of skin,1
Prurigo of pregnancy,Itching of skin,1
Prurigo of pregnancy,Itch of skin,1
Postthoracotomy pain syndrome,Chest wall pain finding,1
Postthoracotomy pain syndrome,Postoperative pain,1
Tissue expander disorder,Pain from tissue expander,1
"Joint disorder NOS, of ankle and foot",Subtalar joint laxity,1
"Joint disorder NOS, of ankle and foot",Subtalar joint stiff,1
"Joint derangement NOS, of the ankle and foot",Foot joint laxity,1
Villonodular synovitis of distal interphalangeal joint of finger,Lump on finger,1
Villonodular synovitis of proximal interphalangeal joint of finger,Lump on finger,1
Villonodular synovitis of metacarpophalangeal joint,Lump on finger,1
Snapping thumb syndrome,DClicking thumb contextdependent category,1
Snapping thumb syndrome,DClicking thumb situation,1
Fibrositis and nodular fasciitis,Pain finding,1
Infective myositisfoot,Cramp in foot,1
Viral myalgia,Pain finding,1
Grunting baby,Grunting respiration finding,1
Submammary intertrigo,Erythema of skin,1
Submammary intertrigo,Erythematous condition,1
Exhaustion  physiological,Exhaustion,1
Versive seizure,Seizure,1
Olfactory seizure disorder,Seizure,1
Olfactory seizure disorder,Partial seizure,1
Epileptic vertigo,Seizure,1
Epileptic vertigo,Subjective vertigo,1
Epileptic vertigo,Vertigo associated with seizures,1
Dysmnesic seizure,Seizure,1
Incomitant heterophoria,Incomitant esophoria disorder,1
Staring finding,Postbasic stare,1
Mechanical low back pain,Low back pain,1
Facet joint pain,Joint pain,1
Facet joint pain,Other back symptoms or facet joint syndrome,1
Neurological pain disorder,Neurogenic pain,1
Perineal neuralgia,Pain finding,1
Iliohypogastric nerve neuralgia,Pain finding,1
Painful spasm of anus,Rectal pain finding,1
Painful spasm of anus,Anal pain finding,1
Diogenes syndrome,Selfneglect,1
Liver palms,Erythema of skin,1
Liver palms,Erythematous condition,1
Rheumatic torticollis,Wry necktorticollis,1
Stiff metacarpophalangeal joint NEC,Joint stiffness,1
Low level sensorimotor gait disorder,Abnormal gait,1
High level sensorimotor gait disorder,Abnormal gait,1
High level sensorimotor gait disorder,Staggering gait finding,1
Myoclonic encephalopathy,Seizure,1
Visual reflex epilepsy,Seizure,1
Neuropathy disorder,Neuropathic pain,1
Hepatic granulomas in berylliosis,Mass of digestive structure,1
Erythema marginatum in acute rheumatic fever,Erythema of skin,1
Erythema marginatum in acute rheumatic fever,Erythematous condition,1
"Sensorineural hearing loss, bilateral",Bilateral central hearing loss,1
Lumbago with sciatica,Low back pain,1
Neonatal withdrawal symptoms from maternal use of drugs of addiction,Withdrawal sign or symptom,1
Withdrawal symptoms from therapeutic use of drugs in newborn,Withdrawal sign or symptom,1
Impairment of voice production,DOther speech disturbance NOS,1
Impairment of voice production,DOther speech disturbance,1
Impairment of speech form,DOther speech disturbance NOS,1
Impairment of speech form,DOther speech disturbance,1
Disorder of fluency,Acquired stammering,1
Dysfluency,DOther speech disturbance NOS,1
Dysfluency,DOther speech disturbance,1
Hyperkinetic aphonia,Loss of voice,1
Hypofunctional aphonia,Loss of voice,1
Hyperfunctional aphonia,Loss of voice,1
Languagerelated cognitive disorder,Other and unspecified symbolic dysfunctions,1
Languagerelated cognitive disorder,DOther symbolic dysfunction,1
Deep dysgraphia,Coordination problem,1
Phonological dysgraphia,Coordination problem,1
Surface dysgraphia,Coordination problem,1
Oralverbal dyspraxia,DOther speech disturbance NOS,1
Oralverbal dyspraxia,DOther speech disturbance,1
Acquired choreiform dyspraxia,Coordination problem,1
Dyspraxia of velopharynx,DOther speech disturbance NOS,1
Dyspraxia of velopharynx,DOther speech disturbance,1
Velar dyspraxia,Coordination problem,1
Restricted sound system,DOther speech disturbance NOS,1
Restricted sound system,DOther speech disturbance,1
Velopharyngeal mislearning,DOther speech disturbance NOS,1
Velopharyngeal mislearning,DOther speech disturbance,1
Benedikts syndrome,Hemiplegia disorder,1
Snuffles in newborn,Snuffles & neonatal snuffles,1
Perinatal neurological disorder,Other newborn abnormal cerebral signs,1
Fifth day fits,Seizure,1
Disorder involving the integument of fetus OR newborn,Harlequin change,1
Central positional nystagmus,Subjective vertigo,1
Central positional vertigo,Subjective vertigo,1
Neonatal annular erythema,Erythema of skin,1
Neonatal annular erythema,Erythematous condition,1
"Hyperhidrosis, premature cavities and premolar aplasia",Excessive sweating,1
Chronic low back pain,Low back pain,1
Cervicogenic headache,Headache finding,1
Internal mammary artery syndrome,Chest pain,1
Internal mammary artery syndrome,Persistent pain following procedure,1
Complex regional pain syndrome,Pain finding,1
Nervus intermedius neuralgia,Pain finding,1
Piriformis syndrome disorder,Pain finding,1
Piriformis syndrome disorder,Sciatica disorder,1
Lumbar facet joint pain,Abdominal pain,1
Disorder of soft tissue of body cavity,Blepharospasm disorder,1
Disorder of soft tissue of body cavity,Pruritus of vagina,1
Disorder of soft tissue of body cavity,Spasmodic torticollis disorder,1
Disorder of soft tissue of trunk,Pruritus of penis,1
Disorder of soft tissue of trunk,Burning scrotum,1
Disorder of soft tissue of trunk,Scrotal pruritus,1
Druginduced melasma,Drug pigmentation,1
Localizationrelated idiopathic epilepsy,Seizure,1
Localizationrelated symptomatic epilepsy,Seizure,1
Localizationrelated symptomatic epilepsy with specific precipitant,Seizure,1
Localizationrelated cryptogenic epilepsy,Seizure,1
Cryptogenic generalized epilepsy,Seizure,1
Epilepsy undetermined whether focal or generalized,Seizure,1
Physiological hyperbilirubinemia,Newborn physiological jaundice disorder,1
Prototheca diarrhea,Diarrhea symptom,1
Prototheca diarrhea,Loose stool,1
Toddler diarrhea,Diarrhea symptom,1
Toddler diarrhea,Loose stool,1
Protracted diarrhea,Diarrhea symptom,1
Protracted diarrhea,Loose stool,1
Perineal hematoma,Perineal lump finding,1
Neonatal chloridorrhea,Diarrhea symptom,1
Neonatal chloridorrhea,Loose stool,1
Perinatal hemoptysis,Blood streaked sputum,1
Chromatopsia,Chromatic aberration of vision,1
Corneal edema due to wearing of contact lenses,Contact lens related red eye,1
Localizationrelatedfocalpartialidiopathic epilepsy and epileptic syndromes with seizures of localized onset,Seizure,1
Obstetric spinal and epidural anesthesiainduced headache,Headache finding,1
Obstetric spinal and epidural anesthesiainduced headache,Reaction to spinal or lumbar puncture disorder,1
Obstetric spinal and epidural anesthesiainduced headache,Post dural puncture headache,1
CO  postviral syndrome,DOther general symptoms NOS,1
CO  postviral syndrome,DOther general symptoms,1
CO  postviral syndrome,Nervous system symptoms,1
CO  postviral syndrome,Neurological symptom,1
Other specified disorders of urinary system,Mass of urinary system structure,1
Other specified diseases of urinary system,Mass of urinary system structure,1
Other specified disorders of urinary system,Swelling of urological structure,1
Other specified diseases of urinary system,Swelling of urological structure,1
Other specified conditions of the integument specific to fetus and newborn,Traumatic neonatal facial cyanosis,1
Disorder of inner ear,Multisensory dizziness,1
Disorder of inner ear,Tinnitus of vascular origin,1
Disorder of inner ear,Leudets tinnitus,1
Hemiplegia or hemiparesis,Hemiplegia disorder,1
Erythema simplex,Erythema of skin,1
Erythema simplex,Erythematous condition,1
Clumsy child,Coordination problem,1
Phosphene,Other specified visual disturbance NOS,1
Accommodation phosphene,Other specified visual disturbance NOS,1
Phosphene,Other specified visual disturbance,1
Accommodation phosphene,Other specified visual disturbance,1
Phosphene,Subjective visual disturbance,1
Accommodation phosphene,Subjective visual disturbance,1
Primary fibromyalgia syndrome,Pain finding,1
Acute confusional migraine,Headache finding,1
Chronic mixed headache syndrome,Headache finding,1
Hindbrain hernia headache,Headache finding,1
"Unilateral sensory loss of face and trunk, opposite sides",Skin sensation disturbance,1
"Unilateral sensory loss of face and trunk, opposite sides",Absence of sensation finding,1
Bergers paresthesia,Skin sensation disturbance,1
Pulmonary cyanosis,Cyanosis of skin,1
Benign exertional headache,Headache finding,1
Analgesic overuse headache,Headache finding,1
Cervical nerve root pain,Radicular pain,1
Cervical nerve root pain,Pain of head and neck region,1
Secondary erythromelalgia,Pain finding,1
Secondary erythromelalgia,Erythema of skin,1
Secondary erythromelalgia,Erythematous condition,1
Solar pruritus of elbows,Pruritus of skin,1
Brachioradial summer pruritus,Pruritus of skin,1
Solar pruritus of elbows,Itching of skin,1
Brachioradial summer pruritus,Itching of skin,1
Solar pruritus of elbows,Itch of skin,1
Brachioradial summer pruritus,Itch of skin,1
Solar pruritus of elbows,Other specified pruritic conditions disorder,1
Brachioradial summer pruritus,Other specified pruritic conditions disorder,1
Sporotrichotic gumma,Gummatous inflammation morphologic abnormality,1
Macular cutaneous amyloidosis,Macule morphologic abnormality,1
Salaam spasm,Spasm finding,1
Salaam spasm,Motor dysfunction,1
Hemiplegiahemiconvulsionepilepsy syndrome,Seizure,1
Asteatotic eczema,Pruritus of skin,1
Winter itch,Pruritus of skin,1
Dry skin dermatitis,Pruritus of skin,1
Asteatotic eczema,Itching of skin,1
Winter itch,Itching of skin,1
Dry skin dermatitis,Itching of skin,1
Asteatotic eczema,Itch of skin,1
Winter itch,Itch of skin,1
Dry skin dermatitis,Itch of skin,1
Asteatotic eczema,Other specified pruritic conditions disorder,1
Winter itch,Other specified pruritic conditions disorder,1
Dry skin dermatitis,Other specified pruritic conditions disorder,1
Pigment alteration,Schistosomal pigment deposition,1
Disorder of pigmentation,Schistosomal pigment deposition,1
Pigment alteration,Drug pigmentation,1
Disorder of pigmentation,Drug pigmentation,1
Pigment alteration,Cullens sign,1
Disorder of pigmentation,Cullens sign,1
Pigment alteration,Blood pigmentation of cornea,1
Disorder of pigmentation,Blood pigmentation of cornea,1
Pigment alteration,Malarial pigment deposition,1
Disorder of pigmentation,Malarial pigment deposition,1
Posteruptive color change of tooth,Extrinsic staining of teeth associated with inadequate oral hygiene,1
Posteruptive teeth staining,Extrinsic staining of teeth associated with inadequate oral hygiene,1
Posteruptive color change of tooth,Extrinsic staining of teeth associated with oral habits,1
Posteruptive teeth staining,Extrinsic staining of teeth associated with oral habits,1
Partial epilepsy with impairment of consciousness,Seizure,1
Myotonic disorder,Spasm finding,1
Disorder of oropharynx,Palatal myoclonus,1
Lumbosacral plexus neuropathy,Lateral femoral cutaneous neuralgia,1
Lumbosacral plexus neuropathy,Obturator neuralgia,1
Lumbosacral plexus neuropathy,Ilioinguinal nerve neuralgia,1
Lumbosacral plexus neuropathy,Genitofemoral nerve neuralgia,1
Lumbosacral plexus neuropathy,Testicular neuralgia,1
Acute and subacute bacterial endocarditis,Oslers node,1
Pruritus estivalis,Pruritus of skin,1
Pruritus estivalis,Itching of skin,1
Pruritus estivalis,Itch of skin,1
Pruritus estivalis,Other specified pruritic conditions disorder,1
Nasal infection,Purulent nasal discharge,1
Nasal infection,Purulent rhinitis,1
Blind or low vision  one eye only,Unqualified visual loss of one eye,1
Blind or low vision  one eye only,"Visual loss, one eye, unqualified",1
Candidiasis of finger web,Erythema of skin,1
Candidiasis of finger web,Erythematous condition,1
Delayed visual maturation,Other specified visual disturbance NOS,1
Delayed visual maturation,Other specified visual disturbance,1
Dysmenorrhea  nonpsychogenic,Pain finding,1
Myalgiamyositis  multiple,Muscle pain,1
Blind or low vision  both eyes,Unqualified visual loss of both eyes,1
Blind or low vision  both eyes,"Visual loss, both eyes unqualified",1
Blind or low vision  both eyes,Impairment level: low vision of both eyes,1
Blind or low vision  both eyes,"Low vision, both eyes",1
Pregnancy and infectious disease,Symptomatic disorders in pregnancy,1
Umbilical cord complication,Disorder of umbilicus,1
Umbilical cord problem,Disorder of umbilicus,1
Pain of uterus finding,Abdominal pain,1
Pain of uterus finding,Pain in female genitalia,1
Druginduced erythema nodosum,Erythema of skin,1
Druginduced erythema nodosum,Erythematous condition,1
Druginduced toxic erythema,Erythema of skin,1
Druginduced toxic erythema,Erythematous condition,1
Druginduced erythema multiforme,Erythema of skin,1
Druginduced erythema multiforme,Erythematous condition,1
Perineal wart,Perineal lump finding,1
Cervical facet joint pain,Pain of head and neck region,1
Thoracic facet joint pain,Chest pain,1
Thoracic facet joint pain,Pain in thoracic spine,1
Horizontal dolls head reflex absent,Abnormal reflex,1
Intertrigo of abdominal skin fold,Erythema of skin,1
Intertrigo of abdominal skin fold,Erythematous condition,1
Anterior mediastinum mass,"DSwelling, mass or lump of chest NOS",1
Anterior mediastinum mass,"DSwelling, mass and lump of chest",1
Antibioticassociated diarrhea,Diarrhea symptom,1
Antibioticassociated diarrhea,Loose stool,1
Erythema at injection site,Erythema of skin,1
Erythema at injection site,Erythematous condition,1
Infection of penis,Penile warts,1
Cyst of embryonic remnant  female,Mass of female genital structure,1
Acute sciatica,Pain finding,1
Acute sciatica,Sciatica disorder,1
Chronic sciatica,Pain finding,1
Chronic sciatica,Sciatica disorder,1
Peripheral vestibular nystagmus,Benign paroxysmal positional vertigo nystagmus,1
Central vestibular nystagmus,Bruns nystagmus,1
Vertical myoclonus,Myoclonic disorder,1
Alcoholinduced epilepsy,Seizure,1
Alcohol withdrawalinduced convulsion,Seizure,1
Alcoholrelated fit,Seizure,1
Acquired hyperbilirubinemia disorder,DJaundice not of newborn,1
Acquired hyperbilirubinemia disorder,DJaundice not of newborn NOS,1
Atypical absence seizure,Seizure,1
Drug exanthem,Erythema of skin,1
Drug exanthem,Erythematous condition,1
Nodular lymphoma of extranodal ANDOR solid organ site,Mass of lymphoreticular structure,1
Transient neonatal hyperbilirubinemia,Newborn physiological jaundice disorder,1
Intestinal disaccharidase deficiency,Sucrose intolerance,1
Disaccharidase deficiency,Sucrose intolerance,1
Dyssomnia,Disturbance in sleep behavior,1
Dyssomnia,Hypersomnia disorder,1
Dyssomnia,Insomnia disorder,1
Dyssomnia,DSleep disturbances & hypersomnia or insomnia,1
Sick headache,Headache finding,1
Adrenogenital disorder,Virilization finding,1
Dermatitis vegetans,Abnormal granulation tissue,1
Palsy of conjugate gaze,Spasm of conjugate gaze,1
Cap polyp,Mass of digestive structure,1
Cyst of tendon sheath,Mass of musculoskeletal structure,1
Infective pharyngitis disorder,Pain in throat,1
Infective pharyngitis disorder,Sore throat symptom,1
Cyst of iris andor ciliary body,Mass of eye structure,1
Cyst of iris andor ciliary body,Swelling of structure of eye,1
Acute diarrhea,Diarrhea symptom,1
Acute diarrhea,Loose stool,1
Atypical angina,Angina,1
Atypical angina,Ischemic chest pain,1
Atypical angina,Pain finding,1
Atypical angina,Other forms of angina pectoris,1
Refractory angina,Angina,1
Refractory angina,Ischemic chest pain,1
Refractory angina,Pain finding,1
Refractory angina,Other forms of angina pectoris,1
Focal dystonia,Blepharospasm disorder,1
Focal dystonia,Spastic dysphonia,1
Eclamptic seizure,Seizure,1
Migraine variant with headache,Headache finding,1
Reflex sympathetic dystrophy of lower extremity,Pain finding,1
Acute respiratory distress,Respiratory distress finding,1
Vertebrogenic pain syndrome,Dorsalgia,1
Vertebrogenic pain syndrome,Backache NOS or back pain & low,1
Carotid territory transient ischemic attack,Amaurosis fugax,1
Benign myoclonic epilepsy in infancy,Seizure,1
Severe myoclonic epilepsy in infancy,Seizure,1
Cough headache syndrome,Headache finding,1
Recurrent hypersomnia,Hypersomnia disorder,1
Cataplexy and narcolepsy,Hypersomnia disorder,1
Juvenile neuronal ceroid lipofuscinosis,Myoclonic disorder,1
Posttraumatic osteoporosis,Pain finding,1
Sleeprelated neurogenic tachypnea,Tachypnea finding,1
Nonconvulsive status epilepticus,Seizure,1
Simple partial status epilepticus,Seizure,1
Simple partial status epilepticus,Partial seizure,1
Anterior frontopolar epilepsy,Seizure,1
Orbitofrontal epilepsy,Seizure,1
Periodic limb movement disorder,Involuntary movement,1
Periodic limb movement disorder,Involuntary movement symptom,1
Progressive myoclonic epilepsy,Myoclonic disorder,1
Progressive myoclonic epilepsy,Seizure,1
Lafora disease,Myoclonic disorder,1
Lafora disease,Seizure,1
UnverrichtLundborg syndrome,Myoclonic disorder,1
UnverrichtLundborg syndrome,Seizure,1
Femoral neuropathy,Femoral neuralgia,1
Benign neonatal sleep myoclonus,Myoclonic disorder,1
Ballism,Involuntary movement,1
Ballism,Involuntary movement symptom,1
Environmental sleep disorder,Disturbance in sleep behavior,1
Sleep disorder,Disturbance in sleep behavior,1
Sleep disorder,Other sleep stage or arousal dysfunction,1
Sleep disorder,Sleep dysfunction with sleep stage disturbance,1
Sleep disorder,Sleep dysfunction with arousal disturbance,1
Neonatal gastrointestinal disorder,Vomiting in newborn,1
Afebrile seizure,Seizure,1
Hyperkeratosis disorder,Subungual hyperkeratosis,1
