disease,symptom
Atypical cluster headache,Headache (finding)
Chronic post-traumatic headache (disorder),Headache (finding)
Low pressure headache,Headache (finding)
Low pressure headache,Post dural puncture headache
Headache due to cold exposure,Headache (finding)
Headache associated with substance abuse or withdrawal,Headache (finding)
Persistent insomnia,Insomnia (disorder)
Persistent hypersomnia,Hypersomnia (disorder)
Irregular sleep-wake pattern,[D]Sleep rhythm irregular
Sleep-related bruxism,Sleep automatism
Sleep-related painful erections,Pain (finding)
Sleep-related painful erections,Painful penile erection
Idiopathic trigeminal neuralgia,Pain (finding)
Secondary trigeminal neuralgia,Pain (finding)
Cluster tic syndrome,Pain (finding)
Acute painful diabetic neuropathy,Pain (finding)
Diabetic acute painful polyneuropathy,Pain (finding)
Disorders of spinal neurones manifest by hyperactivity,Painful legs and moving toes
Disorders of spinal neurones manifest by hyperactivity,Painful arms and moving fingers
Congenital non-progressive ataxia,Ataxia (finding)
Dysequilibrium syndrome (disorder),Dizziness and giddiness
Congenital receptive dysphasia,[D]Other speech disturbance NOS
Congenital receptive dysphasia,[D]Other speech disturbance
Acute sanguinous otitis media,Bleeding from ear
Otitis media with effusion - sanguinous,Bleeding from ear
Migrainous vertigo,Subjective vertigo
Benign recurrent vertigo,Subjective vertigo
Episodic recurrent vertigo,Subjective vertigo
Recurrent vestibulopathy,Subjective vertigo
Episodic recurrent vertigo,Dizziness and giddiness
Recurrent vestibulopathy,Dizziness and giddiness
Pharyngeal spasm,Spasm (finding)
Acute cardiac pulmonary edema,Acute edema
Posteruptive tooth staining due to drug,Teeth staining due to drugs
Amalgam tattoo,Macule (morphologic abnormality)
Diarrhea in diabetes,Diarrhea symptom
Hollow visceral neuropathy,Diarrhea symptom
Diarrhea in diabetes,Loose stool
Hollow visceral neuropathy,Loose stool
Hyperbilirubinemia - conjugated - type III,[D]Jaundice (not of newborn)
Hyperbilirubinemia - conjugated - type III,[D]Jaundice (not of newborn) NOS
Vomiting - infective,Finding of vomiting
Vomiting - infective,Vomiting symptom
Constipation - functional,Constipation (disorder)
Constipation - functional,(Functional constipation) or (impacted faeces)
Constipation - functional,(Functional constipation) or (impacted feces)
Disorder of ureter (disorder),Ureteric neuromuscular incoordination
Non-organic primary enuresis,[D]Enuresis NOS
Non-organic primary enuresis,Enuresis (& [bedwetting])
Non-organic primary enuresis,[D]Enuresis
Non-organic primary enuresis,Enuresis [D]
Non-organic secondary enuresis,[D]Enuresis NOS
Non-organic secondary enuresis,Enuresis (& [bedwetting])
Non-organic secondary enuresis,[D]Enuresis
Non-organic secondary enuresis,Enuresis [D]
Symptomatic disorders of the urinary tract,[D]Urinary system symptoms NOS
Symptomatic disorders of the urinary tract,[D]Urinary system symptoms
Endometriosis outside pelvis,Pain (finding)
Perimenopausal disorder,Menopausal symptom
Perimenopausal disorder,Menopausal headache
Perimenopausal disorder,Menopausal sleeplessness
Perimenopausal disorder,Menopausal concentration lack
Peripheral neuritis in pregnancy,Symptomatic disorders in pregnancy
Hyperemesis gravidarum with metabolic disturbance - not delivered,Finding of vomiting
Hyperemesis gravidarum with metabolic disturbance - not delivered,Vomiting symptom
Hyperemesis gravidarum with metabolic disturbance,Hyperemesis gravidarum
Hyperemesis gravidarum with metabolic disturbance,Finding of vomiting
Hyperemesis gravidarum with metabolic disturbance,Vomiting symptom
Mild hyperemesis-not delivered,Finding of vomiting
Mild hyperemesis-not delivered,Vomiting symptom
Mild hyperemesis-delivered,Finding of vomiting
Mild hyperemesis-delivered,Vomiting symptom
"Breast engorgement in pregnancy, the puerperium or lactation with antenatal complication",Engorgement of breasts
Disorder of nipple,Discharge from nipple
Disorder of nipple,Nipple discharge symptom
Other pruritic conditions NOS,Pruritus of skin
Other pruritic conditions NOS,Itching of skin
Other pruritic conditions NOS,Itch of skin
Local infection skin/subcut tissue NOS (disorder),Skin irritation
Staphylococcal intertrigo,Erythema of skin
Staphylococcal intertrigo,Erythematous condition
Streptococcal intertrigo,Erythema of skin
Streptococcal intertrigo,Erythematous condition
Pruriginous atopic dermatitis,Pruritus of skin
Pruriginous atopic dermatitis,Itching of skin
Pruriginous atopic dermatitis,Itch of skin
Subacute prurigo,Pruritus of skin
Subacute prurigo,Itching of skin
Subacute prurigo,Itch of skin
Chronic prurigo,Pruritus of skin
Chronic prurigo,Itching of skin
Chronic prurigo,Itch of skin
Dermographic prurigo,Pruritus of skin
Dermographic prurigo,Itching of skin
Dermographic prurigo,Itch of skin
Prurigo pigmentosa,Pruritus of skin
Prurigo pigmentosa,Itching of skin
Prurigo pigmentosa,Itch of skin
Psoriasis palmaris,Pustular rash (morphologic abnormality)
Psoriasis plantaris,Pustular rash (morphologic abnormality)
Aquagenic pruritus,Pruritus of skin
Aquagenic pruritus,Itching of skin
Aquagenic pruritus,Itch of skin
Aquagenic pruritus,Other specified pruritic conditions (disorder)
Pigmented peribuccal erythrosis of Brocq,Erythema of skin
Pigmented peribuccal erythrosis of Brocq,Erythematous condition
Idiopathic livedo reticularis,Pale complexion
Idiopathic livedo reticularis with winter ulceration,Pale complexion
Idiopathic livedo reticularis with summer ulceration,Pale complexion
Erythema papulatum,Erythema of skin
Erythema papulatum,Erythematous condition
Erythema tuberculatum,Erythema of skin
Erythema tuberculatum,Erythematous condition
Erythema urticatum,Erythema of skin
Erythema urticatum,Erythematous condition
Erythema vesiculosum,Erythema of skin
Erythema vesiculosum,Erythematous condition
Other exfoliative erythema,Erythema of skin
Other exfoliative erythema,Erythematous condition
Other erythematous conditions NOS,Erythema of skin
Other erythematous conditions NOS,Erythematous condition
Toxic urticated erythema,Erythema of skin
Toxic urticated erythema,Erythematous condition
Non-bullous erythema multiforme,Erythema of skin
Non-bullous erythema multiforme,Erythematous condition
Erythema multiforme of pregnancy,Erythema of skin
Erythema multiforme of pregnancy,Erythematous condition
Collagen and elastic tissue disorders affecting skin,"Extensive congenital erosions, vesicles and reticulate scarring"
Lipogranulomatosis subcutanea of Rothmann and Makai,Erythema of skin
Lipogranulomatosis subcutanea of Rothmann and Makai,Erythematous condition
Skin disorder of umbilicus,Disorder of umbilicus
Disorder of scalp,Scalp itchy
Vulvodynia (disorder),Pain (finding)
Vulvodynia (disorder),Burning sensation of vulva
Vulvodynia (disorder),Vulvovaginal pain
Vulvodynia (disorder),Chronic vaginal pain
Psoriasiform drug eruption,Psoriasiform rash
Drug-induced erythroderma,Erythema of skin
Drug-induced erythroderma,Erythematous condition
Drug-induced pigmentation,Drug pigmentation
Kohlschutter's syndrome,Seizure
Dermatopathia pigmentosa reticularis (disorder),Pale complexion
Prurigo of pregnancy,Pruritus of skin
Prurigo of pregnancy,Itching of skin
Prurigo of pregnancy,Itch of skin
Post-thoracotomy pain syndrome,Chest wall pain (finding)
Post-thoracotomy pain syndrome,Postoperative pain
Tissue expander disorder,Pain from tissue expander
"Joint disorder NOS, of ankle and foot",Subtalar joint laxity
"Joint disorder NOS, of ankle and foot",Subtalar joint stiff
"Joint derangement NOS, of the ankle and foot",Foot joint laxity
Villonodular synovitis of distal interphalangeal joint of finger,Lump on finger
Villonodular synovitis of proximal interphalangeal joint of finger,Lump on finger
Villonodular synovitis of metacarpophalangeal joint,Lump on finger
Snapping thumb syndrome,[D]Clicking thumb (context-dependent category)
Snapping thumb syndrome,[D]Clicking thumb (situation)
Fibrositis and nodular fasciitis,Pain (finding)
Infective myositis-foot,Cramp in foot
Viral myalgia,Pain (finding)
Grunting baby,Grunting respiration (finding)
Submammary intertrigo,Erythema of skin
Submammary intertrigo,Erythematous condition
Exhaustion - physiological,Exhaustion
Versive seizure,Seizure
Olfactory seizure (disorder),Seizure
Olfactory seizure (disorder),Partial seizure
Epileptic vertigo,Seizure
Epileptic vertigo,Subjective vertigo
Epileptic vertigo,Vertigo associated with seizures
Dysmnesic seizure,Seizure
Incomitant heterophoria,Incomitant esophoria (disorder)
Staring (finding),Postbasic stare
Mechanical low back pain,Low back pain
Facet joint pain,Joint pain
Facet joint pain,(Other back symptoms) or (facet joint syndrome)
Neurological pain disorder,Neurogenic pain
Perineal neuralgia,Pain (finding)
Iliohypogastric nerve neuralgia,Pain (finding)
Painful spasm of anus,Rectal pain (finding)
Painful spasm of anus,Anal pain (finding)
Diogenes syndrome,Self-neglect
Liver palms,Erythema of skin
Liver palms,Erythematous condition
Rheumatic torticollis,Wry neck/torticollis
Stiff metacarpophalangeal joint NEC,Joint stiffness
Low level sensorimotor gait disorder,Abnormal gait
High level sensorimotor gait disorder,Abnormal gait
High level sensorimotor gait disorder,Staggering gait (finding)
Myoclonic encephalopathy,Seizure
Visual reflex epilepsy,Seizure
Neuropathy (disorder),Neuropathic pain
Hepatic granulomas in berylliosis,Mass of digestive structure
Erythema marginatum in acute rheumatic fever,Erythema of skin
Erythema marginatum in acute rheumatic fever,Erythematous condition
"Sensorineural hearing loss, bilateral",Bilateral central hearing loss
Lumbago with sciatica,Low back pain
Neonatal withdrawal symptoms from maternal use of drugs of addiction,Withdrawal sign or symptom
Withdrawal symptoms from therapeutic use of drugs in newborn,Withdrawal sign or symptom
Impairment of voice production,[D]Other speech disturbance NOS
Impairment of voice production,[D]Other speech disturbance
Impairment of speech form,[D]Other speech disturbance NOS
Impairment of speech form,[D]Other speech disturbance
Disorder of fluency,Acquired stammering
Dysfluency,[D]Other speech disturbance NOS
Dysfluency,[D]Other speech disturbance
Hyperkinetic aphonia,Loss of voice
Hypofunctional aphonia,Loss of voice
Hyperfunctional aphonia,Loss of voice
Language-related cognitive disorder,[X]Other and unspecified symbolic dysfunctions
Language-related cognitive disorder,[D]Other symbolic dysfunction
Deep dysgraphia,Coordination problem
Phonological dysgraphia,Coordination problem
Surface dysgraphia,Coordination problem
Oral-verbal dyspraxia,[D]Other speech disturbance NOS
Oral-verbal dyspraxia,[D]Other speech disturbance
Acquired choreiform dyspraxia,Coordination problem
Dyspraxia of velopharynx,[D]Other speech disturbance NOS
Dyspraxia of velopharynx,[D]Other speech disturbance
Velar dyspraxia,Coordination problem
Restricted sound system,[D]Other speech disturbance NOS
Restricted sound system,[D]Other speech disturbance
Velopharyngeal mislearning,[D]Other speech disturbance NOS
Velopharyngeal mislearning,[D]Other speech disturbance
Benedikt's syndrome,Hemiplegia (disorder)
Snuffles in newborn,Snuffles (& neonatal snuffles)
Perinatal neurological disorder,Other newborn abnormal cerebral signs
Fifth day fits,Seizure
Disorder involving the integument of fetus OR newborn,Harlequin change
Central positional nystagmus,Subjective vertigo
Central positional vertigo,Subjective vertigo
Neonatal annular erythema,Erythema of skin
Neonatal annular erythema,Erythematous condition
"Hyperhidrosis, premature cavities and premolar aplasia",Excessive sweating
Chronic low back pain,Low back pain
Cervicogenic headache,Headache (finding)
Internal mammary artery syndrome,Chest pain
Internal mammary artery syndrome,Persistent pain following procedure
Complex regional pain syndrome,Pain (finding)
Nervus intermedius neuralgia,Pain (finding)
Piriformis syndrome (disorder),Pain (finding)
Piriformis syndrome (disorder),Sciatica (disorder)
Lumbar facet joint pain,Abdominal pain
Disorder of soft tissue of body cavity,Blepharospasm (disorder)
Disorder of soft tissue of body cavity,Pruritus of vagina
Disorder of soft tissue of body cavity,Spasmodic torticollis (disorder)
Disorder of soft tissue of trunk,Pruritus of penis
Disorder of soft tissue of trunk,Burning scrotum
Disorder of soft tissue of trunk,Scrotal pruritus
Drug-induced melasma,Drug pigmentation
Localization-related idiopathic epilepsy,Seizure
Localization-related symptomatic epilepsy,Seizure
Localization-related symptomatic epilepsy with specific precipitant,Seizure
Localization-related cryptogenic epilepsy,Seizure
Cryptogenic generalized epilepsy,Seizure
Epilepsy undetermined whether focal or generalized,Seizure
Physiological hyperbilirubinemia,Newborn physiological jaundice (disorder)
Prototheca diarrhea,Diarrhea symptom
Prototheca diarrhea,Loose stool
Toddler diarrhea,Diarrhea symptom
Toddler diarrhea,Loose stool
Protracted diarrhea,Diarrhea symptom
Protracted diarrhea,Loose stool
Perineal hematoma,Perineal lump (finding)
Neonatal chloridorrhea,Diarrhea symptom
Neonatal chloridorrhea,Loose stool
Perinatal hemoptysis,Blood streaked sputum
Chromatopsia,Chromatic aberration of vision
Corneal edema due to wearing of contact lenses,Contact lens related red eye
Localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localized onset,Seizure
Obstetric spinal and epidural anesthesia-induced headache,Headache (finding)
Obstetric spinal and epidural anesthesia-induced headache,Reaction to spinal or lumbar puncture (disorder)
Obstetric spinal and epidural anesthesia-induced headache,Post dural puncture headache
C/O - postviral syndrome,[D]Other general symptoms NOS
C/O - postviral syndrome,[D]Other general symptoms
C/O - postviral syndrome,Nervous system symptoms
C/O - postviral syndrome,Neurological symptom
[X]Other specified disorders of urinary system,Mass of urinary system structure
Other specified diseases of urinary system,Mass of urinary system structure
[X]Other specified disorders of urinary system,Swelling of urological structure
Other specified diseases of urinary system,Swelling of urological structure
[X]Other specified conditions of the integument specific to fetus and newborn,Traumatic neonatal facial cyanosis
Disorder of inner ear,Multisensory dizziness
Disorder of inner ear,Tinnitus of vascular origin
Disorder of inner ear,Leudet's tinnitus
(Hemiplegia) or (hemiparesis),Hemiplegia (disorder)
Erythema simplex,Erythema of skin
Erythema simplex,Erythematous condition
Clumsy child,Coordination problem
Phosphene,Other specified visual disturbance NOS
Accommodation phosphene,Other specified visual disturbance NOS
Phosphene,Other specified visual disturbance
Accommodation phosphene,Other specified visual disturbance
Phosphene,Subjective visual disturbance
Accommodation phosphene,Subjective visual disturbance
Primary fibromyalgia syndrome,Pain (finding)
Acute confusional migraine,Headache (finding)
Chronic mixed headache syndrome,Headache (finding)
Hindbrain hernia headache,Headache (finding)
"Unilateral sensory loss of face and trunk, opposite sides",Skin sensation disturbance
"Unilateral sensory loss of face and trunk, opposite sides",Absence of sensation (finding)
Berger's paresthesia,Skin sensation disturbance
Pulmonary cyanosis,Cyanosis of skin
Benign exertional headache,Headache (finding)
Analgesic overuse headache,Headache (finding)
Cervical nerve root pain,Radicular pain
Cervical nerve root pain,Pain of head and neck region
Secondary erythromelalgia,Pain (finding)
Secondary erythromelalgia,Erythema of skin
Secondary erythromelalgia,Erythematous condition
Solar pruritus of elbows,Pruritus of skin
Brachioradial summer pruritus,Pruritus of skin
Solar pruritus of elbows,Itching of skin
Brachioradial summer pruritus,Itching of skin
Solar pruritus of elbows,Itch of skin
Brachioradial summer pruritus,Itch of skin
Solar pruritus of elbows,Other specified pruritic conditions (disorder)
Brachioradial summer pruritus,Other specified pruritic conditions (disorder)
Sporotrichotic gumma,Gummatous inflammation (morphologic abnormality)
Macular cutaneous amyloidosis,Macule (morphologic abnormality)
Salaam spasm,Spasm (finding)
Salaam spasm,Motor dysfunction
Hemiplegia-hemiconvulsion-epilepsy syndrome,Seizure
Asteatotic eczema,Pruritus of skin
Winter itch,Pruritus of skin
Dry skin dermatitis,Pruritus of skin
Asteatotic eczema,Itching of skin
Winter itch,Itching of skin
Dry skin dermatitis,Itching of skin
Asteatotic eczema,Itch of skin
Winter itch,Itch of skin
Dry skin dermatitis,Itch of skin
Asteatotic eczema,Other specified pruritic conditions (disorder)
Winter itch,Other specified pruritic conditions (disorder)
Dry skin dermatitis,Other specified pruritic conditions (disorder)
Pigment alteration,Schistosomal pigment deposition
Disorder of pigmentation,Schistosomal pigment deposition
Pigment alteration,Drug pigmentation
Disorder of pigmentation,Drug pigmentation
Pigment alteration,Cullen's sign
Disorder of pigmentation,Cullen's sign
Pigment alteration,Blood pigmentation of cornea
Disorder of pigmentation,Blood pigmentation of cornea
Pigment alteration,Malarial pigment deposition
Disorder of pigmentation,Malarial pigment deposition
Posteruptive color change of tooth,Extrinsic staining of teeth associated with inadequate oral hygiene
Posteruptive teeth staining,Extrinsic staining of teeth associated with inadequate oral hygiene
Posteruptive color change of tooth,Extrinsic staining of teeth associated with oral habits
Posteruptive teeth staining,Extrinsic staining of teeth associated with oral habits
Partial epilepsy with impairment of consciousness,Seizure
Myotonic disorder,Spasm (finding)
Disorder of oropharynx,Palatal myoclonus
Lumbosacral plexus neuropathy,Lateral femoral cutaneous neuralgia
Lumbosacral plexus neuropathy,Obturator neuralgia
Lumbosacral plexus neuropathy,Ilioinguinal nerve neuralgia
Lumbosacral plexus neuropathy,Genitofemoral nerve neuralgia
Lumbosacral plexus neuropathy,Testicular neuralgia
Acute and subacute bacterial endocarditis,Osler's node
Pruritus estivalis,Pruritus of skin
Pruritus estivalis,Itching of skin
Pruritus estivalis,Itch of skin
Pruritus estivalis,Other specified pruritic conditions (disorder)
Nasal infection,Purulent nasal discharge
Nasal infection,Purulent rhinitis
Blind or low vision - one eye only,Unqualified visual loss of one eye
Blind or low vision - one eye only,"Visual loss, one eye, unqualified"
Candidiasis of finger web,Erythema of skin
Candidiasis of finger web,Erythematous condition
Delayed visual maturation,Other specified visual disturbance NOS
Delayed visual maturation,Other specified visual disturbance
Dysmenorrhea - non-psychogenic,Pain (finding)
Myalgia/myositis - multiple,Muscle pain
Blind or low vision - both eyes,Unqualified visual loss of both eyes
Blind or low vision - both eyes,"Visual loss, both eyes unqualified"
Blind or low vision - both eyes,Impairment level: low vision of both eyes
Blind or low vision - both eyes,"Low vision, both eyes"
Pregnancy and infectious disease,Symptomatic disorders in pregnancy
Umbilical cord complication,Disorder of umbilicus
Umbilical cord problem,Disorder of umbilicus
Pain of uterus (finding),Abdominal pain
Pain of uterus (finding),Pain in female genitalia
Drug-induced erythema nodosum,Erythema of skin
Drug-induced erythema nodosum,Erythematous condition
Drug-induced toxic erythema,Erythema of skin
Drug-induced toxic erythema,Erythematous condition
Drug-induced erythema multiforme,Erythema of skin
Drug-induced erythema multiforme,Erythematous condition
Perineal wart,Perineal lump (finding)
Cervical facet joint pain,Pain of head and neck region
Thoracic facet joint pain,Chest pain
Thoracic facet joint pain,Pain in thoracic spine
Horizontal doll's head reflex absent,Abnormal reflex
Intertrigo of abdominal skin fold,Erythema of skin
Intertrigo of abdominal skin fold,Erythematous condition
Anterior mediastinum mass,"[D]Swelling, mass or lump of chest NOS"
Anterior mediastinum mass,"[D]Swelling, mass and lump of chest"
Antibiotic-associated diarrhea,Diarrhea symptom
Antibiotic-associated diarrhea,Loose stool
Erythema at injection site,Erythema of skin
Erythema at injection site,Erythematous condition
Infection of penis,Penile warts
Cyst of embryonic remnant - female,Mass of female genital structure
Acute sciatica,Pain (finding)
Acute sciatica,Sciatica (disorder)
Chronic sciatica,Pain (finding)
Chronic sciatica,Sciatica (disorder)
Peripheral vestibular nystagmus,Benign paroxysmal positional vertigo nystagmus
Central vestibular nystagmus,Bruns nystagmus
Vertical myoclonus,Myoclonic disorder
Alcohol-induced epilepsy,Seizure
Alcohol withdrawal-induced convulsion,Seizure
Alcohol-related fit,Seizure
Acquired hyperbilirubinemia (disorder),[D]Jaundice (not of newborn)
Acquired hyperbilirubinemia (disorder),[D]Jaundice (not of newborn) NOS
Atypical absence seizure,Seizure
Drug exanthem,Erythema of skin
Drug exanthem,Erythematous condition
Nodular lymphoma of extranodal AND/OR solid organ site,Mass of lymphoreticular structure
Transient neonatal hyperbilirubinemia,Newborn physiological jaundice (disorder)
Intestinal disaccharidase deficiency,Sucrose intolerance
Disaccharidase deficiency,Sucrose intolerance
Dyssomnia,Disturbance in sleep behavior
Dyssomnia,Hypersomnia (disorder)
Dyssomnia,Insomnia (disorder)
Dyssomnia,[D]Sleep disturbances (& [hypersomnia] or [insomnia])
Sick headache,Headache (finding)
Adrenogenital disorder,Virilization (finding)
Dermatitis vegetans,Abnormal granulation tissue
Palsy of conjugate gaze,Spasm of conjugate gaze
Cap polyp,Mass of digestive structure
Cyst of tendon sheath,Mass of musculoskeletal structure
Infective pharyngitis (disorder),Pain in throat
Infective pharyngitis (disorder),Sore throat symptom
Cyst of iris and/or ciliary body,Mass of eye structure
Cyst of iris and/or ciliary body,Swelling of structure of eye
Acute diarrhea,Diarrhea symptom
Acute diarrhea,Loose stool
Atypical angina,Angina
Atypical angina,Ischemic chest pain
Atypical angina,Pain (finding)
Atypical angina,[X]Other forms of angina pectoris
Refractory angina,Angina
Refractory angina,Ischemic chest pain
Refractory angina,Pain (finding)
Refractory angina,[X]Other forms of angina pectoris
Focal dystonia,Blepharospasm (disorder)
Focal dystonia,Spastic dysphonia
Eclamptic seizure,Seizure
Migraine variant with headache,Headache (finding)
Reflex sympathetic dystrophy of lower extremity,Pain (finding)
Acute respiratory distress,Respiratory distress (finding)
Vertebrogenic pain syndrome,Dorsalgia
Vertebrogenic pain syndrome,(Backache NOS) or (back pain [& low])
Carotid territory transient ischemic attack,Amaurosis fugax
Benign myoclonic epilepsy in infancy,Seizure
Severe myoclonic epilepsy in infancy,Seizure
Cough headache syndrome,Headache (finding)
Recurrent hypersomnia,Hypersomnia (disorder)
Cataplexy and narcolepsy,Hypersomnia (disorder)
Juvenile neuronal ceroid lipofuscinosis,Myoclonic disorder
Posttraumatic osteoporosis,Pain (finding)
Sleep-related neurogenic tachypnea,Tachypnea (finding)
Nonconvulsive status epilepticus,Seizure
Simple partial status epilepticus,Seizure
Simple partial status epilepticus,Partial seizure
Anterior frontopolar epilepsy,Seizure
Orbitofrontal epilepsy,Seizure
Periodic limb movement disorder,Involuntary movement
Periodic limb movement disorder,Involuntary movement symptom
Progressive myoclonic epilepsy,Myoclonic disorder
Progressive myoclonic epilepsy,Seizure
Lafora disease,Myoclonic disorder
Lafora disease,Seizure
Unverricht-Lundborg syndrome,Myoclonic disorder
Unverricht-Lundborg syndrome,Seizure
Femoral neuropathy,Femoral neuralgia
Benign neonatal sleep myoclonus,Myoclonic disorder
Ballism,Involuntary movement
Ballism,Involuntary movement symptom
Environmental sleep disorder,Disturbance in sleep behavior
Sleep disorder,Disturbance in sleep behavior
Sleep disorder,Other sleep stage or arousal dysfunction
Sleep disorder,Sleep dysfunction with sleep stage disturbance
Sleep disorder,Sleep dysfunction with arousal disturbance
Neonatal gastrointestinal disorder,Vomiting in newborn
Afebrile seizure,Seizure
Hyperkeratosis (disorder),Subungual hyperkeratosis
Hyperkeratosis (morphologic abnormality),Subungual hyperkeratosis
Periorbital erythema,Erythema of skin
Periorbital erythema,Erythematous condition
Respiratory tract congestion,Congestion of nasal sinus
Refractory epilepsy,Seizure
Pseudocyst of ear,Mass of ear structure
Purple glove syndrome,Cyanosis of skin
Effusion of joint,Joint swelling
Effusion of joint,Joint effusion of other specified site
Effusion of joint,Painful swelling of joint
Diffuse pyelonephritis,Diffuse inflammation
Exfoliative erythema,Erythema of skin
Exfoliative erythema,Erythematous condition
Anterior ethmoidal nerve syndrome,Neuropathic pain
Anterior ethmoidal nerve syndrome,Pain (finding)
Disorder of eye region,Periorbital edema
Disorder of eye region,Spasm of conjugate gaze
Disorder of eye region,Irregular nystagmus
Disorder of eye region,Gaze paretic nystagmus
Disorder of eye region,Postural nystagmus
Disorder of eye region,Spontaneous nystagmus
Disorder of eye region,Body positional nystagmus
Disorder of eye region,Nystagmus produced by neck rotation
Disorder of eye region,Nystagmus enhanced when fixation removed
Disorder of eye region,Nystagmus signs
Disorder of eye region,Elliptical nystagmus
Functional amblyopia,(Visual disturbances NOS) or (amblyopia) or (blurred vision)
Visual perceptual weakness,Subjective visual disturbance
Visual perceptual weakness,Visual alteration
Scotopic sensitivity,Visual alteration
Chondrodermatitis nodularis (disorder),Mass of ear structure
Physiological cutis marmorata,Pale complexion
Neonatal cutis marmorata,Pale complexion
Normocomplementemic urticarial vasculitis,Urticarial vasculitis (disorder)
Diabetic wet gangrene of the foot,[D]Widespread diabetic foot gangrene
Viral wart on lip,Mass of oral cavity
Erythema nodosum due to streptococcal infection,Erythema of skin
Erythema nodosum due to streptococcal infection,Erythematous condition
Erythema nodosum due to Yersinia enterocolitica,Erythema of skin
Erythema nodosum due to Yersinia enterocolitica,Erythematous condition
Erythema multiforme due to mycoplasma infection,Erythema of skin
Erythema multiforme due to mycoplasma infection,Erythematous condition
Familial actinic prurigo,Erythema of skin
Familial actinic prurigo,Erythematous condition
Familial actinic prurigo of lip,Erythema of skin
Familial actinic prurigo of lip,Erythematous condition
Papular form erythema multiforme,Erythema of skin
Papular form erythema multiforme,Erythematous condition
Vesicobullous form erythema multiforme,Erythema of skin
Vesicobullous form erythema multiforme,Erythematous condition
Erythema multiforme due to malignancy,Erythema of skin
Erythema multiforme due to malignancy,Erythematous condition
Clubbing of nails associated with systemic disorder,Clubbing (morphologic abnormality)
Clubbing of nails associated with systemic disorder,Clubbing of nail (disorder)
Acquired koilonychia,Koilonychia
Postmenopausal flushing,Face goes red
Stellate pseudoscar in senile purpura,Stellate pseudoscar
Penile sclerosing lipogranuloma,Perineal lump (finding)
Penile sclerosing lipogranuloma,Mass of male genital structure
Lupus erythematosus-associated urticarial vasculitis,Urticarial vasculitis (disorder)
Postmenopausal pruritus,Pruritus of skin
Postmenopausal pruritus,Itching of skin
Postmenopausal pruritus,Itch of skin
Postmenopausal pruritus,Other specified pruritic conditions (disorder)
Pruritus due to systemic disorder,Pruritus of skin
Pruritus due to systemic disorder,Itching of skin
Pruritus due to systemic disorder,Itch of skin
Serum sickness due to drug,Immune complex urticaria
Drug-induced Stevens-Johnson syndrome,Erythema of skin
Drug-induced Stevens-Johnson syndrome,Erythematous condition
Drug-induced erythema,Erythema of skin
Drug-induced erythema,Erythematous condition
Drug-induced flushing,Face goes red
Erythroderma due to vancomycin,Erythema of skin
Erythroderma due to vancomycin,Erythematous condition
Non-melanin pigmentation due to drug,Drug pigmentation
Acral erythema due to cytotoxic therapy,Erythema of skin
Acral erythema due to cytotoxic therapy,Erythematous condition
Stellate pseudoscars due to corticosteroids,Stellate pseudoscar
Drug-induced mucositis,Rhinitis due to alpha-adrenergic blocking agent
PUVA-induced pruritus,Pruritus of skin
PUVA-induced pruritus,Itching of skin
PUVA-induced pruritus,Itch of skin
Eosinophilia-myalgia syndrome from tryptophan,Pain (finding)
Erythroderma of unknown etiology,Erythema of skin
Erythroderma of unknown etiology,Erythematous condition
Lymphedema of lower extremity,Edema of lower extremity
Lymphedema of penis,Edema of penis
Hemodialysis-associated pruritus,Pruritus of skin
Hemodialysis-associated pruritus,Itching of skin
Hemodialysis-associated pruritus,Itch of skin
Scaling eczema,Erythema of skin
Scaling eczema,Erythematous condition
Senile asteatotic eczema,Pruritus of skin
Senile asteatotic eczema,Itching of skin
Senile asteatotic eczema,Itch of skin
Splenic hamartoma,Mass of lymphoreticular structure
Porphyria-induced scleroderma,Thickening of skin
Pangastritis,Diffuse inflammation
Exacerbation of backache,Dorsalgia
Crusting of pigmented skin lesion,Changes in skin texture
Post infarct angina,Angina
Post infarct angina,Ischemic chest pain
Post infarct angina,Pain (finding)
Post infarct angina,[X]Other forms of angina pectoris
Exanthematous disorder,Erythema of skin
Exanthematous disorder,Erythematous condition
Endometriosis of uterosacral ligament,Pain (finding)
Contact lens related giant papillary conjunctivitis,Contact lens related disorder
Diffuse episcleritis,Diffuse inflammation
Divergence insufficiency,Anomaly of divergence
Mild dietary indigestion,Indigestion (finding)
Neurologic unpleasant taste,Bad taste in mouth
Neurologic unpleasant taste,Unpleasant taste in mouth
Female Kallman's syndrome,Loss of sense of smell
Degenerative disorder,Schistosomal pigment deposition
Inflammation of specific body systems,Tuberculous chancre
Hereditary disorder of the visual system,Visual alteration
Neonatal cardiovascular disorder,Neonatal cyanosis
Disorder of finger,Paroxysmal hematoma of the finger
Urticaria perstans,Urticaria persistans
Infectious disease of mucous membrane,Purulent nasal discharge
Infectious disease of mucous membrane,Purulent rhinitis
Melanocytic nevus of ear,Mass of ear structure
Chronic disease of musculoskeletal system,Intermittent torticollis
Musculoskeletal disorder of the neck,Wry neck/torticollis
Musculoskeletal disorder of the neck,Spasmodic torticollis (disorder)
Disorder of cervical spine (disorder),Wry neck/torticollis
Disorder of cervical spine (disorder),Intermittent torticollis
